"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles"
"CHEMBL11672";"ROQUINIMEX";"FCF 89|LS 2616|Linomide|ROQUINIMEX";"Small molecule";"0";"308.34";"22";"69";"2.52";"62.54";"4";"1";"0";"2";"N";"0.79";"6.03";"None";"1.59";"0.22";"3";"MOL";"0";"23";"5";"1";"0";"308.1161";"ACID";"C18H16N2O3";"CN(C(=O)c1c(O)c2ccccc2n(C)c1=O)c1ccccc1"
"CHEMBL3989868";"TUCATINIB";"ARRY-380|ONT-380|TUCATINIB|TUKYSA";"Small molecule";"4";"480.53";"293";"297";"5.09";"110.85";"10";"2";"1";"5";"N";"0.36";"None";"4.57";"5.25";"5.25";"5";"MOL";"0";"36";"10";"2";"1";"480.2022";"NEUTRAL";"C26H24N8O2";"Cc1cc(Nc2ncnc3ccc(NC4=NC(C)(C)CO4)cc23)ccc1Oc1ccn2ncnc2c1"
"CHEMBL1575";"ESTRAMUSTINE";"ESTRAMUSTINE|Estramustine|NSC-89201|RO 22-2296/000|RO-22-2296000|RO-222296000";"Small molecule";"3";"440.41";"100";"161";"5.18";"49.77";"3";"1";"1";"5";"N";"0.64";"None";"None";"5.10";"5.10";"1";"MOL";"0";"29";"4";"1";"1";"439.1681";"NEUTRAL";"C23H31Cl2NO3";"C[C@]12CC[C@@H]3c4ccc(OC(=O)N(CCCl)CCCl)cc4CC[C@H]3[C@@H]1CC[C@@H]2O"
"CHEMBL1200751";"MERCAPTOPURINE";"6-MERCAPTOPURINE|6-MERCAPTOPURINE MONOHYDRATE|MERCAPTOPURINE|MERCAPTOPURINE ANHYDROUS|MERCAPTOPURINE HYDRATE|NSC-755|PURI-NETHOL|PURIXAN|Purinethol|XALUPRINE";"Small molecule";"4";"170.20";"15";"28";"0.64";"54.46";"4";"2";"0";"0";"N";"0.43";"7.51";"2.19";"0.35";"0.11";"2";"MOL";"0";"10";"4";"1";"0";"152.0157";"NEUTRAL";"C5H6N4OS";"O.Sc1ncnc2nc[nH]c12"
"CHEMBL44657";"ETOPOSIDE";"ETOPOSIDE|ETOPOSIDE RESOLUTION MIXTURE|NSC-141540|TOPOSAR|VP-16-213|Vepesid";"Small molecule";"4";"588.56";"999";"6573";"1.34";"160.83";"13";"3";"2";"5";"N";"0.43";"9.33";"None";"1.16";"1.16";"2";"MOL";"0";"42";"13";"3";"2";"588.1843";"NEUTRAL";"C29H32O13";"COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O"
"CHEMBL167731";"PIXANTRONE";"BBR 2778|BBR-2778|PIXANTRONE";"Small molecule";"4";"325.37";"3";"24";"0.60";"123.13";"7";"4";"0";"6";"N";"0.52";"None";"9.52";"0.35";"-3.24";"2";"MOL";"0";"24";"7";"6";"1";"325.1539";"BASE";"C17H19N5O2";"NCCNc1ccc(NCCN)c2c1C(=O)c1ccncc1C2=O"
"CHEMBL1670";"MITOTANE";"CB 313|CB-313|Lysodren|MITOTANE|NSC-38721|O,P'-DDD|OPDDD";"Small molecule";"4";"320.05";"229";"898";"5.93";"0.00";"0";"0";"1";"3";"N";"0.62";"None";"None";"6.11";"6.11";"2";"MOL";"0";"18";"0";"0";"1";"317.9537";"NEUTRAL";"C14H10Cl4";"Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1"
"CHEMBL238071";"VINDESINE";"COMPOUND 112531|COMPOUND-112531|VINDESINE";"Small molecule";"4";"753.94";"124";"410";"2.73";"164.82";"10";"5";"1";"6";"N";"0.19";"11.34";"8.68";"2.79";"0.82";"3";"MOL";"0";"55";"12";"6";"3";"753.4101";"BASE";"C43H55N5O7";"CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(N)=O)[C@H](O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1"
"CHEMBL1421";"DASATINIB";"BMS-354825|BMS-354825 HYDRATE|BMS-354825-03|DASATINIB|DASATINIB HYDRATE|DASATINIB MONOHYDRATE|Sprycel";"Small molecule";"4";"488.02";"943";"2355";"3.31";"106.51";"9";"3";"0";"7";"N";"0.47";"8.52";"7.19";"3.83";"3.74";"3";"MOL";"0";"33";"9";"3";"0";"487.1557";"NEUTRAL";"C22H26ClN7O2S";"Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1"
"CHEMBL90555";"VINCRISTINE";"VINCRISTINE|Vincristine";"Small molecule";"4";"824.97";"232";"1592";"3.52";"171.17";"12";"3";"2";"8";"N";"0.13";"10.85";"8.66";"3.13";"1.14";"3";"MOL";"0";"60";"14";"3";"2";"824.3996";"BASE";"C46H56N4O10";"CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1"
