"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles"
"CHEMBL803";"CYTARABINE";"ALEXAN|ALEXAN 100|ARA-CYTIDINE|ARABINOSYL CYTOSINE|CYTARABINE|CYTOSAR|CYTOSAR-U|DEPOCYTE|Depocyt|NSC-287459|Tarabine PFS|U-19,920|U-19920";"Small molecule";"4";"243.22";"848";"2360";"-2.56";"130.83";"8";"4";"0";"2";"N";"0.45";"12.55";"None";"-2.80";"-2.80";"1";"MOL";"0";"17";"8";"5";"0";"243.0855";"NEUTRAL";"C9H13N3O5";"Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1"
"CHEMBL3889654";"LAROTRECTINIB";"ARRY-470|BAY-2757556|BAY2757556|LAROTRECTINIB|LOXO-101";"Small molecule";"4";"428.44";"8";"17";"2.95";"86.00";"6";"2";"0";"3";"N";"0.67";"10.94";"0.70";"2.44";"2.44";"3";"MOL";"0";"31";"8";"2";"0";"428.1772";"NEUTRAL";"C21H22F2N6O2";"O=C(Nc1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12)N1CC[C@H](O)C1"
"CHEMBL3353410";"OSIMERTINIB";"AZD-9291|AZD-9291 FREE BASE|AZD9291|OSIMERTINIB|TAGRISSO";"Small molecule";"4";"499.62";"343";"788";"4.51";"87.55";"8";"2";"0";"10";"N";"0.31";"13.64";"8.87";"4.49";"3.01";"4";"MOL";"0";"37";"9";"2";"0";"499.2696";"BASE";"C28H33N7O2";"C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C"
"CHEMBL1201477";"POLYESTRADIOL PHOSPHATE";"Estradurin|LEO 114|POLYEST PHOS|POLYESTRADIOL PHOS PHOSPHATE|POLYESTRADIOL PHOSPHATE";"Small molecule";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";""
"CHEMBL2111084";"BELOTECAN";"BELOTECAN";"Small molecule";"3";"433.51";"1";"1";"2.62";"93.45";"7";"2";"0";"5";"N";"0.47";"11.73";"10.24";"1.69";"-0.87";"3";"MOL";"0";"32";"7";"2";"0";"433.2002";"BASE";"C25H27N3O4";"CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2CCNC(C)C"
"CHEMBL1201129";"DECITABINE";"DAC|DECITABINE|Dacogen|NSC-127716";"Small molecule";"4";"228.21";"98";"153";"-2.14";"123.49";"8";"3";"0";"2";"N";"0.53";"13.89";"None";"-2.16";"-2.16";"1";"MOL";"0";"16";"8";"4";"0";"228.0859";"NEUTRAL";"C8H12N4O4";"Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1"
"CHEMBL254328";"ABIRATERONE";"ABIRATERONE|CB 7598|CB-7598|ZYTIGA";"Small molecule";"4";"349.52";"40";"146";"5.40";"33.12";"2";"1";"1";"1";"N";"0.69";"None";"4.81";"3.97";"3.96";"1";"MOL";"0";"26";"2";"1";"1";"349.2406";"NEUTRAL";"C24H31NO";"C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1"
"CHEMBL535";"SUNITINIB";"SU-011248|SU-11248|SU011248|SUNITINIB|SUTENT|Sutent";"Small molecule";"4";"398.48";"1190";"3690";"3.33";"77.23";"3";"3";"0";"7";"N";"0.63";"11.46";"9.04";"2.93";"1.28";"2";"MOL";"0";"29";"6";"3";"0";"398.2118";"BASE";"C22H27FN4O2";"CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C"
"CHEMBL3989958";"IVOSIDENIB";"AG-120|IVOSIDENIB|TIBSOVO";"Small molecule";"4";"582.97";"4";"28";"4.32";"119.29";"6";"1";"1";"7";"N";"0.44";"12.14";"1.81";"3.01";"3.01";"3";"MOL";"0";"41";"9";"1";"1";"582.1394";"NEUTRAL";"C28H22ClF3N6O3";"N#Cc1ccnc(N2C(=O)CC[C@H]2C(=O)N(c2cncc(F)c2)[C@H](C(=O)NC2CC(F)(F)C2)c2ccccc2Cl)c1"
"CHEMBL3707266";"RIBOCICLIB SUCCINATE";"KISQALI|LEE011-BBA|RIBOCICLIB SUCCINATE";"Small molecule";"4";"552.64";"";"";"2.80";"91.21";"8";"2";"0";"5";"N";"0.64";"11.57";"8.86";"2.38";"0.91";"3";"MOL";"0";"32";"9";"2";"0";"434.2543";"BASE";"C27H36N8O5";"CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1.O=C(O)CCC(=O)O"
"CHEMBL1533310";"HISTAMINE DIHYDROCHLORIDE";"CEPLENE|HISTAMINE DIHYDROCHLORIDE|HISTAMINE DIHYDROCLORIDE|HISTAMINE HYDROCHLORIDE|NSC-257873";"Small molecule";"4";"184.07";"13";"42";"-0.09";"54.70";"2";"2";"0";"2";"Y";"0.56";"None";"9.58";"-0.70";"-2.85";"1";"MOL";"0";"8";"3";"3";"0";"111.0796";"BASE";"C5H11Cl2N3";"Cl.Cl.NCCc1c[nH]cn1"
"CHEMBL18901";"EFAPROXIRAL";"EFAPROXIRAL|RSR-13|RSR13";"Small molecule";"3";"341.41";"4";"27";"3.73";"75.63";"3";"2";"0";"6";"N";"0.84";"3.56";"None";"4.39";"1.04";"2";"MOL";"0";"25";"5";"2";"0";"341.1627";"ACID";"C20H23NO4";"Cc1cc(C)cc(NC(=O)Cc2ccc(OC(C)(C)C(=O)O)cc2)c1"
"CHEMBL4204794";"AVAPRITINIB";"70C366|AVAPRITINIB|AYVAKIT|BLU-285|C-366|X-720776|X720776";"Small molecule";"4";"498.57";"5";"20";"2.61";"106.29";"10";"1";"0";"5";"N";"0.39";"None";"8.52";"3.26";"2.12";"5";"MOL";"0";"37";"10";"2";"0";"498.2404";"BASE";"C26H27FN10";"Cn1cc(-c2cc3c(N4CCN(c5ncc([C@@](C)(N)c6ccc(F)cc6)cn5)CC4)ncnn3c2)cn1"
"CHEMBL717";"MEDROXYPROGESTERONE ACETATE";"ADGYN MEDRO|AMEN|Amen|CLIMANOR|CURRETAB|CYCRIN|DEPO-PROGEVERA|DEPO-PROVERA|DEPO-PROVERA ONCOLOGY|DEPO-SUBQ PROVERA 104|FARLUTAL|FARLUTAL 100|FARLUTAL 200|FARLUTAL 250|FARLUTAL 500|Lunelle|MEDROXIPROGESTERONE ACETATE|MEDROXYPROGESTERONE|MEDROXYPROGESTERONE 17-ACETATE|MEDROXYPROGESTERONE ACETATE|Medroxyprogesterone Acetate|NSC-21171|NSC-26386|Prempro|Provera|SAYANA PRESS|TV-46046";"Small molecule";"4";"386.53";"171";"553";"4.66";"60.44";"4";"0";"0";"2";"N";"0.65";"None";"None";"4.13";"4.13";"0";"MOL";"0";"28";"4";"0";"0";"386.2457";"NEUTRAL";"C24H34O4";"CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C"
"CHEMBL2103875";"TRAMETINIB";"GSK-1120212|GSK1120212|JTP 74057|JTP-74057|MEKINIST|TMT-212|TMT212|TRAMETINIB";"Small molecule";"4";"615.40";"318";"434";"3.94";"107.13";"8";"2";"1";"5";"N";"0.33";"12.60";"None";"3.18";"3.18";"4";"MOL";"0";"37";"9";"2";"1";"615.0779";"NEUTRAL";"C26H23FIN5O4";"CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1"
"CHEMBL20883";"TEGAFUR";"CITOFUR|FT-207|MJF-12264|NSC-148958|TEGAFUR|UFTORAL";"Small molecule";"4";"200.17";"147";"851";"-0.02";"64.09";"4";"1";"0";"1";"N";"0.69";"8.08";"None";"0.02";"-0.06";"1";"MOL";"0";"14";"5";"1";"0";"200.0597";"NEUTRAL";"C8H9FN2O3";"O=c1[nH]c(=O)n(C2CCCO2)cc1F"
"CHEMBL941";"IMATINIB";"Gleevec|IMATINIB|Imatinib|STI-571";"Small molecule";"4";"493.62";"1328";"4236";"4.59";"86.28";"7";"2";"0";"7";"N";"0.39";"12.69";"7.84";"4.38";"3.80";"4";"MOL";"0";"37";"8";"2";"0";"493.2590";"NEUTRAL";"C29H31N7O";"Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1"
"CHEMBL554";"LAPATINIB";"GSK-572016|GW-2016|GW-572016|GW-572016X|GW572016|LAPATINIB|Lapatinib|TYVERB";"Small molecule";"4";"581.07";"935";"2285";"6.14";"106.35";"8";"2";"2";"11";"N";"0.18";"None";"7.26";"4.64";"4.40";"5";"MOL";"0";"40";"8";"2";"2";"580.1347";"NEUTRAL";"C29H26ClFN4O4S";"CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1"
"CHEMBL1117";"IDARUBICIN";"IDARUBICIN|Idamycin|Idarubicin";"Small molecule";"4";"497.50";"174";"1270";"1.02";"176.61";"10";"5";"0";"3";"N";"0.33";"8.02";"9.18";"1.51";"1.06";"2";"MOL";"0";"36";"10";"6";"1";"497.1686";"BASE";"C26H27NO9";"CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O"
"CHEMBL325041";"BORTEZOMIB";"BORTEZOMIB|BORTEZOMIB HYDRATE|LDP-341|NSC-681239|PS-341|Velcade";"Small molecule";"4";"384.25";"521";"1948";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"384.1969";"None";"C19H25BN4O4";"CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O"
"CHEMBL727";"THIOGUANINE";"LANVIS|NSC-752|NSC-76504|THIOGUANINE|TIOGUANINE|TIOGUANINE HEMIHYDRATE|Tabloid";"Small molecule";"4";"167.20";"232";"1670";"0.60";"83.38";"4";"3";"0";"0";"N";"0.50";"9.46";"1.84";"-0.26";"-0.26";"2";"MOL";"0";"11";"5";"4";"0";"167.0266";"NEUTRAL";"C5H5N5S";"Nc1nc2[nH]cnc2c(=S)[nH]1"
"CHEMBL178";"DAUNORUBICIN";"Cerubidine|DAUNORUBICIN|DAUNOXOME|Daunoxome|EPIRUBICIN HYDROCHLORIDE IMPURITY, DAUNORUBICIN-|FI 6339|FI-6339|NSC-83142|RP 13057|RP-13057|VALRUBICIN IMPURITY, DAUNORUBICIN";"Small molecule";"4";"527.53";"268";"1952";"1.03";"185.84";"11";"5";"2";"4";"N";"0.31";"8.00";"9.09";"1.34";"0.91";"2";"MOL";"0";"38";"11";"6";"3";"527.1791";"BASE";"C27H29NO10";"COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1"
"CHEMBL3545369";"EPACADOSTAT";"EPACADOSTAT|INCB-024360|INCB024360";"Small molecule";"3";"438.24";"34";"172";"0.42";"167.76";"8";"5";"0";"7";"N";"0.14";"5.60";"0.27";"0.09";"-1.61";"2";"MOL";"0";"25";"11";"6";"2";"436.9917";"ACID";"C11H13BrFN7O4S";"NS(=O)(=O)NCCNc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1"
"CHEMBL2108628";"PACLITAXEL POLIGLUMEX";"CT-2103|PACLITAXEL CONJUGATE WITH POLY-L-GLUTAMIC ACID|PACLITAXEL POLIGLUMEX|PG-TXL|Xyotax";"Small molecule";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";""
"CHEMBL973";"TERIFLUNOMIDE";"A77 1726|AUBAGIO|HMR-1726|HMR1726|LEFLUNOMIDE RELATED COMPOUND B|LEFLUNOMIDE RELATED COMPOUND B RS|TERIFLUNOMIDE";"Small molecule";"4";"270.21";"21";"105";"3.00";"73.12";"3";"2";"0";"2";"N";"0.49";"5.48";"None";"2.14";"0.23";"1";"MOL";"0";"19";"4";"2";"0";"270.0616";"ACID";"C12H9F3N2O2";"C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1"
"CHEMBL1229517";"VEMURAFENIB";"PLX-4032|PLX4032|RG 7204|RG-7204|RO 5185426|RO-51-85426|RO-5185426|VEMURAFENIB|ZELBORAF";"Small molecule";"4";"489.93";"330";"597";"5.54";"91.92";"4";"2";"1";"7";"N";"0.33";"8.87";"2.30";"4.62";"4.61";"4";"MOL";"0";"33";"6";"2";"1";"489.0725";"NEUTRAL";"C23H18ClF2N3O3S";"CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F"
"CHEMBL24828";"VANDETANIB";"CAPRELSA|GNF-PF-2188|VANDETANIB|ZD-64|ZD-6474|ZD6474|Zactima";"Small molecule";"4";"475.36";"520";"1530";"5.00";"59.51";"6";"1";"1";"6";"N";"0.54";"None";"9.13";"4.54";"2.81";"3";"MOL";"0";"30";"6";"1";"1";"474.1067";"BASE";"C22H24BrFN4O2";"COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1"
"CHEMBL601";"AMINOLEVULINIC ACID";".DELTA.-AMINOLEVULINIC ACID|AMINOLEVULINIC ACID|Aminolevulinic acid|Levulan";"Small molecule";"4";"131.13";"45";"176";"-0.62";"80.39";"3";"2";"0";"4";"N";"0.53";"4.05";"7.84";"-3.25";"-3.37";"0";"MOL";"0";"9";"4";"3";"0";"131.0582";"ACID";"C5H9NO3";"NCC(=O)CCC(=O)O"
"CHEMBL452231";"TENIPOSIDE";"NSC-122819|TENIPOSIDE|VM-26|VM26|Vumon";"Small molecule";"4";"656.66";"34";"146";"2.75";"160.83";"14";"3";"2";"6";"N";"0.33";"9.33";"None";"2.78";"2.78";"3";"MOL";"0";"46";"13";"3";"2";"656.1564";"NEUTRAL";"C32H32O13S";"COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O"
"CHEMBL3301610";"ABEMACICLIB";"ABEMACICLIB|Abemaciclib|LY-2835219|LY2835219|VERZENIO|VERZENIOS";"Small molecule";"4";"506.61";"445";"724";"4.94";"75.00";"8";"1";"1";"7";"N";"0.38";"10.27";"7.94";"4.42";"3.76";"4";"MOL";"0";"37";"8";"1";"1";"506.2718";"NEUTRAL";"C27H32F2N8";"CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1"
"CHEMBL34259";"METHOTREXATE";"ADX-2191|AMETHOPTERIN|Abitrexate|Amethopterin|CL 14377|CL-14377|EBETREX|EMT-25299|EMTEXATE HIGH-POT|EMTEXATE PF|Folex|MAXTREX|METHOTREXATE|METHYLAMINOPTERIN|METOJECT|Mexate|Mexate-AQ|NSC-740|OTREXUP|OTREXUP PFS|R-9985|R-METHOTREXATE|RASUVO|REDITREX|Rheumatrex|TCMDC-123832|TCMDC-125488|TCMDC-125858|Trexall|ZLATAL|methotrexate";"Small molecule";"4";"454.45";"912";"3940";"0.27";"210.54";"10";"5";"0";"9";"N";"0.29";"3.25";"2.80";"-0.24";"-6.56";"3";"MOL";"0";"33";"13";"7";"2";"454.1713";"ACID";"C20H22N8O5";"CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1"
"CHEMBL43";"AMSACRINE";"AMSACRINE|Amsidyl|CI-880|M-AMSA|NCI-249992|NSC-156303|NSC-249992|SN-11841|SN-21429";"Small molecule";"4";"393.47";"175";"708";"4.51";"80.32";"5";"2";"0";"5";"N";"0.49";"10.82";"8.44";"3.16";"2.16";"4";"MOL";"0";"28";"6";"2";"0";"393.1147";"NEUTRAL";"C21H19N3O3S";"COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12"
"CHEMBL83";"TAMOXIFEN";"ICI-46474|ICI-47699|Nolvadex|Soltamox|TAMOXIFEN|Tamoxifen";"Small molecule";"4";"371.52";"280";"3763";"6.00";"12.47";"2";"0";"1";"8";"N";"0.45";"None";"8.76";"6.35";"4.97";"3";"MOL";"0";"28";"2";"0";"1";"371.2249";"BASE";"C26H29NO";"CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1"
"CHEMBL473417";"VISMODEGIB";"ERIVEDGE|GDC-0449|NSC-747691|VISMODEGIB";"Small molecule";"4";"421.31";"602";"862";"4.71";"76.13";"4";"1";"0";"4";"N";"0.66";"13.50";"3.70";"3.93";"3.93";"3";"MOL";"0";"27";"5";"1";"0";"420.0102";"NEUTRAL";"C19H14Cl2N2O3S";"CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1"
"CHEMBL216913";"MITOGUAZONE";"MITOGUAZONE";"Small molecule";"3";"184.21";"15";"98";"-2.11";"153.52";"4";"4";"0";"3";"N";"0.23";"None";"7.38";"-2.17";"-2.50";"0";"MOL";"0";"13";"8";"8";"1";"184.1185";"NEUTRAL";"C5H12N8";"CC(/C=N/N=C(N)N)=N\N=C(N)N"
"CHEMBL2105759";"BARICITINIB";"BARICITINIB|Baricitinib|INCB-028050|INCB-28050|INCB028050|LY-3009104|LY3009104|OLUMIANT";"Small molecule";"4";"371.43";"304";"366";"1.10";"120.56";"7";"1";"0";"5";"N";"0.72";"13.89";"3.91";"-0.19";"-0.19";"3";"MOL";"0";"26";"9";"1";"0";"371.1164";"NEUTRAL";"C16H17N7O2S";"CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1"
"CHEMBL12948";"SEMUSTINE";"ICIG 1110|ICIG-1110|METHYL-CCNU|SEMUSTINE";"Small molecule";"3";"247.73";"123";"291";"2.50";"61.77";"3";"1";"0";"4";"N";"0.47";"None";"None";"2.44";"2.44";"0";"MOL";"0";"16";"5";"1";"0";"247.1088";"NEUTRAL";"C10H18ClN3O2";"CC1CCC(NC(=O)N(CCCl)N=O)CC1"
"CHEMBL1024";"IFOSFAMIDE";"IFOSFAMIDE|Ifex|Ifsofamide|MITOXANA|MJF 9325|MJF-9325|NSC-109724|Z-4942|Z4942";"Small molecule";"4";"261.09";"199";"809";"1.88";"41.57";"2";"1";"0";"5";"N";"0.61";"None";"0.02";"0.10";"0.10";"0";"MOL";"0";"14";"4";"1";"0";"260.0248";"NEUTRAL";"C7H15Cl2N2O2P";"O=P1(NCCCl)OCCCN1CCCl"
"CHEMBL3183409";"APALUTAMIDE";"APALUTAMIDE|ARN-509|Erleada|JNJ-56021927";"Small molecule";"4";"477.44";"8";"24";"3.53";"89.33";"5";"1";"0";"3";"N";"0.54";"13.05";"0.19";"3.46";"3.46";"2";"MOL";"0";"33";"7";"1";"0";"477.0883";"NEUTRAL";"C21H15F4N5O2S";"CNC(=O)c1ccc(N2C(=S)N(c3cnc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)cc1F"
"CHEMBL2087361";"ICOTINIB";"BPI-2009H|ICOTINIB";"Small molecule";"3";"391.43";"309";"327";"3.16";"74.73";"7";"1";"0";"2";"N";"0.67";"None";"4.62";"3.03";"3.03";"3";"MOL";"0";"29";"7";"1";"0";"391.1532";"NEUTRAL";"C22H21N3O4";"C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1"
"CHEMBL2103751";"PREDNIMUSTINE";"LEO-1031|NSC-134087|NSC-171345|PREDNIMUSTINE";"Small molecule";"2";"646.65";"1";"1";"5.42";"104.14";"7";"2";"2";"12";"N";"0.23";"12.61";"1.72";"5.87";"5.87";"1";"MOL";"0";"44";"7";"2";"2";"645.2624";"NEUTRAL";"C35H45Cl2NO6";"C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COC(=O)CCCc1ccc(N(CCCl)CCCl)cc1"
"CHEMBL409";"BICALUTAMIDE";"BICALUTAMIDE|Calutide|Casodex|Cosudex|ICI 176,334|ICI-176334|ICI176,334-1|Kalumid";"Small molecule";"4";"430.38";"720";"1086";"2.88";"107.26";"5";"2";"0";"5";"N";"0.56";"11.78";"None";"2.71";"2.71";"2";"MOL";"0";"29";"6";"2";"0";"430.0610";"NEUTRAL";"C18H14F4N2O4S";"CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1"
"CHEMBL288441";"BOSUTINIB";"BOSULIF|BOSUTINIB|BOSUTINIB MONOHYDRATE|SK-606|SKI-606";"Small molecule";"4";"530.46";"1073";"1545";"5.19";"82.88";"8";"1";"2";"9";"N";"0.38";"None";"8.03";"4.09";"3.37";"3";"MOL";"0";"36";"8";"1";"2";"529.1647";"NEUTRAL";"C26H29Cl2N5O3";"COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl"
