"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles"
"CHEMBL2104146";"CHINIOFON";"CHINIOFON";"Small molecule";"0";"435.13";"2";"3";"1.79";"87.49";"4";"2";"0";"1";"N";"0.60";"-4.37";"2.82";"-0.58";"-0.73";"2";"MOL";"0";"16";"5";"2";"0";"350.9062";"ACID";"C10H7INNaO7S";"O=C([O-])O.O=S(=O)(O)c1cc(I)c(O)c2ncccc12.[Na+]"
"CHEMBL119";"TRIMETREXATE";"CI-898|Neutrexin|TRIMETREXATE|Trimetrexate";"Small molecule";"4";"369.43";"71";"382";"2.74";"117.54";"8";"3";"0";"6";"N";"0.61";"None";"7.54";"2.28";"1.91";"3";"MOL";"0";"27";"8";"5";"0";"369.1801";"NEUTRAL";"C19H23N5O3";"COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC"
"CHEMBL1788384";"ARSTHINOL";"ARSTHINENOL|ARSTHINOL|MERCAPTOARSENICAL|MERCAPTOARSENOL";"Small molecule";"0";"347.29";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"346.9631";"None";"C11H14AsNO3S2";"CC(=O)Nc1cc([As]2SCC(CO)S2)ccc1O"
"CHEMBL531048";"PHANQUONE";"C-11925|GNF-Pf-1759|PHANCHINONE|PHANQUINONE|PHANQUONE";"Small molecule";"0";"210.19";"15";"26";"1.52";"59.92";"4";"0";"0";"0";"N";"0.62";"None";"1.69";"1.26";"1.26";"2";"MOL";"0";"16";"4";"0";"0";"210.0429";"NEUTRAL";"C12H6N2O2";"O=C1C(=O)c2ncccc2-c2cccnc21"
"CHEMBL964";"DISULFIRAM";"Antabuse|DISULFIRAM|Disulfiram|ESPERAL|NSC-25953|ORA-102|ORA102";"Small molecule";"4";"296.55";"263";"2618";"3.62";"6.48";"4";"0";"0";"4";"N";"0.57";"None";"None";"4.16";"4.16";"0";"MOL";"0";"16";"2";"0";"0";"296.0509";"None";"C10H20N2S4";"CCN(CC)C(=S)SSC(=S)N(CC)CC"
"CHEMBL567597";"ARTEMISININ";"(+)-Artemisinin|ARTEMISININ|Artemisin|GNF-PF-5341|NSC-369397";"Small molecule";"4";"282.34";"218";"2158";"2.39";"53.99";"5";"0";"0";"0";"N";"0.50";"None";"None";"3.11";"3.11";"0";"MOL";"0";"20";"5";"0";"0";"282.1467";"NEUTRAL";"C15H22O5";"C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@]32OO4"
"CHEMBL1454946";"FLUBENDAZOLE";"FLUBENDAZOLE|R 17,889";"Small molecule";"0";"313.29";"123";"590";"3.11";"84.08";"4";"2";"0";"3";"N";"0.73";"9.17";"3.42";"3.40";"3.40";"3";"MOL";"0";"23";"6";"2";"0";"313.0863";"NEUTRAL";"C16H12FN3O3";"COC(=O)Nc1nc2cc(C(=O)c3ccc(F)cc3)ccc2[nH]1"
"CHEMBL1201303";"PYRVINIUM";"PYRVINIUM|Pyrvinium";"Small molecule";"4";"382.53";"12";"34";"5.31";"12.05";"2";"0";"1";"4";"N";"0.44";"None";"1.48";"1.41";"1.41";"4";"MOL";"0";"29";"3";"0";"1";"382.2278";"NEUTRAL";"C26H28N3+";"Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1"
"CHEMBL252518";"ARTENIMOL";"ARTEMETHER RELATED COMPOUND A|ARTENIMOL|DIHYDROARTEMISININ|GNF-PF-5634";"Small molecule";"4";"284.35";"94";"538";"2.19";"57.15";"5";"1";"0";"0";"N";"0.69";"12.11";"None";"2.84";"2.84";"0";"MOL";"0";"20";"5";"1";"0";"284.1624";"NEUTRAL";"C15H24O5";"C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](O)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@@]23OO4"
"CHEMBL2106968";"MESULFEN";"MESULFEN|MESULPHEN|THIANTHOL";"Small molecule";"0";"244.38";"";"";"4.92";"0.00";"2";"0";"0";"0";"N";"0.55";"None";"None";"5.40";"5.40";"2";"MOL";"0";"16";"0";"0";"0";"244.0380";"None";"C14H12S2";"Cc1ccc2c(c1)Sc1ccc(C)cc1S2"
"CHEMBL170";"QUININE";"NSC-192949|QUININE|Quinine|WR297608";"Small molecule";"4";"324.42";"87";"796";"3.17";"45.59";"4";"1";"0";"4";"N";"0.88";"13.89";"9.05";"2.51";"0.86";"2";"MOL";"0";"24";"4";"1";"0";"324.1838";"BASE";"C20H24N2O2";"C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12"
"CHEMBL435966";"NIMORAZOLE";"K-1900|NAXOGIN 500|NIMORAZOLE|NSC-107524";"Small molecule";"4";"226.24";"21";"65";"0.12";"73.43";"6";"0";"0";"4";"N";"0.54";"None";"6.05";"-0.09";"-0.11";"1";"MOL";"0";"16";"7";"0";"0";"226.1066";"NEUTRAL";"C9H14N4O3";"O=[N+]([O-])c1cncn1CCN1CCOCC1"
"CHEMBL1788389";"STIBOPHEN";"Fuadin|STIBOPHEN";"Small molecule";"0";"769.13";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"0";"None";"None";"None";"None";"767.6909";"None";"C12H4Na5O16S4Sb";""
"CHEMBL120563";"THIRAM";"NSC-1771|Rezifilm|SQ 1489|THIRAM";"Small molecule";"0";"240.44";"170";"389";"2.06";"6.48";"4";"0";"0";"0";"N";"0.47";"None";"None";"2.73";"2.73";"0";"MOL";"0";"12";"2";"0";"0";"239.9883";"None";"C6H12N2S4";"CN(C)C(=S)SSC(=S)N(C)C"
"CHEMBL1448";"NICLOSAMIDE";"BAY 2353|BAY-2353|Ex A Lint|Lintex|NICLOSAMIDE|NSC-178296|Niclocide|Nicloside|WR 46234|YOMESAN";"Small molecule";"4";"327.12";"167";"638";"3.86";"92.47";"4";"2";"0";"3";"N";"0.66";"6.89";"None";"3.91";"3.29";"2";"MOL";"0";"21";"6";"2";"0";"325.9861";"NEUTRAL";"C13H8Cl2N2O4";"O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O"
"CHEMBL1788393";"ETOFAMIDE";"ETHYLCHLORDIPHENE|ETOFAMIDE";"Small molecule";"0";"427.28";"1";"1";"4.56";"81.91";"5";"0";"0";"10";"N";"0.24";"None";"None";"4.17";"4.17";"2";"MOL";"0";"28";"7";"0";"0";"426.0749";"NEUTRAL";"C19H20Cl2N2O5";"CCOCCN(Cc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1)C(=O)C(Cl)Cl"
"CHEMBL682";"AMODIAQUINE";"AMODIAQUIN|AMODIAQUINE|Amodiaquine|GNF-Pf-5648|NSC-13453|SJ000110703";"Small molecule";"4";"355.87";"38";"127";"5.18";"48.39";"4";"2";"1";"6";"N";"0.60";"9.10";"10.17";"3.80";"2.32";"3";"MOL";"0";"25";"4";"2";"1";"355.1451";"BASE";"C20H22ClN3O";"CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O"
"CHEMBL290106";"BITHIONOL";"BITHIONOL|Lorothidol";"Small molecule";"4";"356.06";"188";"937";"5.86";"40.46";"3";"2";"1";"2";"N";"0.71";"4.89";"None";"5.97";"3.98";"2";"MOL";"0";"19";"2";"2";"1";"353.8843";"ACID";"C12H6Cl4O2S";"Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O"
"CHEMBL413376";"SURAMIN HEXASODIUM";"BAY-205|BAYER-205|CI-1003|FOURNEAU 309|FOURNEAU-309|NAPHURIDE|NF-060|SURAMIN HEXASODIUM|SURAMIN SODIUM";"Small molecule";"3";"1429.19";"49";"102";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"1296.0469";"None";"C51H34N6Na6O23S6";"Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)[O-])c3cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)[O-])c5cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c45)ccc3C)c2)c1.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+]"
"CHEMBL125";"MILTEFOSINE";"D-18506|HDPC|IMPAVIDO|MILTEFOSINE|Miltefosine|Miltex|NSC-605583";"Small molecule";"4";"407.58";"199";"1375";"5.68";"58.59";"4";"0";"1";"20";"N";"0.15";"1.88";"None";"2.25";"4.27";"0";"MOL";"0";"27";"5";"0";"1";"407.3164";"ACID";"C21H46NO4P";"CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C"
"CHEMBL323348";"DIMETHYL PHTHALATE";"DIMETHYL PHTHALATE|DIMETHYLPHTHALATE|Dimethyl phthalate|METHYL PHTHALATE";"Small molecule";"0";"194.19";"9";"27";"1.26";"52.60";"4";"0";"0";"2";"N";"0.66";"None";"None";"1.98";"1.98";"1";"MOL";"0";"14";"4";"0";"0";"194.0579";"None";"C10H10O4";"COC(=O)c1ccccc1C(=O)OC"
"CHEMBL3989825";"CYCLOGUANIL PAMOATE";"CHLOROGUANIDE TRIAZINE PAMOATE|CI-501|CN-14,329-23A|CYCLOGUANIL EMBONATE|CYCLOGUANIL PAMOATE|PAM-MR-807-23A";"Small molecule";"4";"891.82";"";"";"1.53";"80.00";"5";"2";"0";"1";"N";"0.79";"None";"8.18";"1.70";"0.86";"1";"MOL";"0";"17";"5";"4";"0";"251.0938";"NEUTRAL";"C45H44Cl2N10O6";"CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1.CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1.O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O"
"CHEMBL1220";"TINIDAZOLE";"CP-12,574|CP-12574|FASIGYN|Symplotan|TINIDAZOLE|Tindamax|Trimonase";"Small molecule";"4";"247.28";"148";"683";"0.53";"95.10";"6";"0";"0";"5";"N";"0.56";"None";"3.28";"-0.58";"-0.58";"1";"MOL";"0";"16";"7";"0";"0";"247.0627";"NEUTRAL";"C8H13N3O4S";"CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C"
"CHEMBL36";"PYRIMETHAMINE";"Chloridin|Daraprim|GNF-PF-5586|Malacide|NSC-3061|PYRIMETHAMINE|Pyrimethamine|RP-4753|TCMDC-123831|TCMDC-125860|WR-2978";"Small molecule";"4";"248.72";"532";"1517";"2.52";"77.82";"4";"2";"0";"2";"N";"0.86";"None";"7.77";"2.75";"2.23";"2";"MOL";"0";"17";"4";"4";"0";"248.0829";"NEUTRAL";"C12H13ClN4";"CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1"
"CHEMBL37161";"FENBENDAZOLE";"FENBENDAZOLE|HOE 881Y|Panacur";"Small molecule";"0";"299.36";"153";"706";"3.89";"67.01";"4";"2";"0";"3";"N";"0.77";"9.40";"4.20";"3.99";"3.99";"3";"MOL";"0";"21";"5";"2";"0";"299.0728";"NEUTRAL";"C15H13N3O2S";"COC(=O)Nc1nc2ccc(Sc3ccccc3)cc2[nH]1"
"CHEMBL110";"BENZNIDAZOLE";"BENZNIDAZOLE|NSC-299972|RO 07-1051|RO-07-1051|RO-7-1051";"Small molecule";"4";"260.25";"87";"1686";"1.11";"90.06";"5";"1";"0";"5";"N";"0.64";"13.68";"0.20";"1.32";"1.32";"2";"MOL";"0";"19";"7";"1";"0";"260.0909";"NEUTRAL";"C12H12N4O3";"O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1"
"CHEMBL1788392";"GLYCOBIARSOL";"BISMUTH GLYCOLLYLARSANILATE|GLYCOBIARSOL";"Small molecule";"0";"499.06";"1";"1";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"0";"None";"None";"None";"None";"498.9450";"None";"C8H9AsBiNO6";""
"CHEMBL416956";"MEFLOQUINE";"GNF-Pf-5544|Lariam|MEFLOQUINE|Mefaquin|Mefloquine|RO 21-5998|RO-215998|WR 142,490";"Small molecule";"4";"378.32";"71";"719";"4.45";"45.15";"3";"2";"0";"2";"N";"0.76";"13.79";"9.46";"4.11";"2.07";"2";"MOL";"0";"26";"3";"2";"0";"378.1167";"BASE";"C17H16F6N2O";"OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1"
"CHEMBL1107";"HALOFANTRINE";"HALOFANTRINE|Halofantrine";"Small molecule";"4";"500.43";"18";"88";"8.64";"23.47";"2";"1";"2";"10";"N";"0.28";"None";"10.05";"8.06";"5.46";"3";"MOL";"0";"33";"2";"1";"2";"499.1657";"BASE";"C26H30Cl2F3NO";"CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12"
"CHEMBL1788386";"TETRAMETHRIN";"TETRAMETHRIN";"Small molecule";"0";"331.41";"3";"13";"2.96";"63.68";"4";"0";"0";"4";"N";"0.45";"None";"None";"3.09";"3.09";"0";"MOL";"0";"24";"5";"0";"0";"331.1784";"NEUTRAL";"C19H25NO4";"CC(C)=CC1C(C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C"
"CHEMBL272485";"DIBUTYL PHTHALATE";"DIBUTYL PHTHALATE|DIBUTYLPHTHALATE";"Small molecule";"0";"278.35";"20";"22";"3.60";"52.60";"4";"0";"0";"8";"N";"0.54";"None";"None";"4.63";"4.63";"1";"MOL";"0";"20";"4";"0";"0";"278.1518";"None";"C16H22O4";"CCCCOC(=O)c1ccccc1C(=O)OCCCC"
"CHEMBL1788396";"DIFETARSONE";"DIFETARSONE|DIPHETARSONE|RP 4763 [AS SODIUM SALT)";"Small molecule";"0";"460.15";"2";"19";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"459.9597";"None";"C14H18As2N2O6";"O=[As](O)(O)c1ccc(NCCNc2ccc([As](=O)(O)O)cc2)cc1"
"CHEMBL223448";"BROXYQUINOLINE";"BROXYQUINOLINE|DIBROMOHYDROXYQUINOLINE";"Small molecule";"0";"302.95";"32";"68";"3.47";"33.12";"2";"1";"0";"0";"N";"0.81";"7.14";"3.31";"3.36";"2.91";"2";"MOL";"0";"13";"2";"1";"0";"300.8738";"NEUTRAL";"C9H5Br2NO";"Oc1c(Br)cc(Br)c2cccnc12"
"CHEMBL1788399";"COPPER OLEINATE";"COPPER OLEINATE";"Small molecule";"0";"626.47";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"0";"None";"None";"None";"None";"625.4257";"None";"C36H66CuO4";""
"CHEMBL1535";"HYDROXYCHLOROQUINE";"HYDROXYCHLOROQUINE|Hydroxychloroquine";"Small molecule";"4";"335.88";"125";"376";"3.78";"48.39";"4";"2";"0";"9";"N";"0.73";"None";"9.76";"2.89";"0.33";"2";"MOL";"0";"23";"4";"2";"0";"335.1764";"BASE";"C18H26ClN3O";"CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12"
"CHEMBL361506";"PENTAMIDINE ISETHIONATE";"MB 800|Nebupent|OCZ103-OS|PENTACARINAT|PENTAMIDINE ISETHIONATE|PENTAMIDINE ISETIONATE|Pentam|Pentamidine diisethionate|RP 2512";"Small molecule";"4";"592.69";"55";"101";"2.88";"118.20";"4";"4";"0";"10";"N";"0.30";"None";"12.13";"2.32";"-2.50";"2";"MOL";"0";"25";"6";"6";"1";"340.1899";"BASE";"C23H36N4O10S2";"N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1.O=S(=O)(O)CCO.O=S(=O)(O)CCO"
"CHEMBL361497";"ARTESUNATE";"ARTESUNATE|Arsumax|LJPC-0118|NSC-712571";"Small molecule";"4";"384.43";"85";"703";"2.60";"100.52";"7";"1";"0";"4";"N";"0.58";"3.77";"None";"3.10";"-0.17";"0";"MOL";"0";"27";"8";"1";"0";"384.1784";"ACID";"C19H28O8";"C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4"
"CHEMBL1240977";"OXANTEL";"OXANTEL";"Small molecule";"0";"216.28";"4";"32";"2.14";"35.83";"3";"1";"0";"2";"Y";"0.82";"9.39";"10.90";"1.28";"-0.32";"1";"MOL";"0";"16";"3";"1";"0";"216.1263";"BASE";"C13H16N2O";"CN1CCCN=C1/C=C/c1cccc(O)c1"
"CHEMBL134920";"AZANIDAZOLE";"AZANIDAZOLE";"Small molecule";"0";"246.23";"3";"19";"0.87";"112.76";"7";"1";"0";"3";"N";"0.63";"None";"4.06";"0.83";"0.83";"2";"MOL";"0";"18";"8";"2";"0";"246.0865";"NEUTRAL";"C10H10N6O2";"Cn1c([N+](=O)[O-])cnc1/C=C/c1ccnc(N)n1"
"CHEMBL416898";"CHLOROPHENOTHANE";"CHLOROPHENOTHANE|CHLORPHENOTANE|CLOFENOTANE|Chlorophenothane|DDT|DICOPHANE|PENTICIDE";"Small molecule";"4";"354.49";"44";"95";"6.50";"0.00";"0";"0";"1";"2";"N";"0.54";"None";"None";"6.46";"6.46";"2";"MOL";"0";"19";"0";"0";"1";"351.9147";"None";"C14H9Cl5";"Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1"
"CHEMBL1631694";"FEXINIDAZOLE";"FEXINIDAZOLE|HOE 239|HOE-239";"Small molecule";"3";"279.32";"18";"68";"2.63";"70.19";"6";"0";"0";"5";"N";"0.48";"None";"1.53";"2.38";"2.38";"2";"MOL";"0";"19";"6";"0";"0";"279.0678";"NEUTRAL";"C12H13N3O3S";"CSc1ccc(OCc2ncc([N+](=O)[O-])n2C)cc1"
"CHEMBL1788388";"DIBUTYLSUCCINATE";"DIBUTYLSUCCINATE";"Small molecule";"0";"230.30";"";"";"2.45";"52.60";"4";"0";"0";"9";"N";"0.45";"None";"None";"2.54";"2.54";"0";"MOL";"0";"16";"4";"0";"0";"230.1518";"NEUTRAL";"C12H22O4";"CCCCOC(=O)CCC(=O)OCCCC"
"CHEMBL684";"DIETHYLCARBAMAZINE";"DIETHYLCARBAMAZINE|Diethylcarbamazine|Hetrazan";"Small molecule";"4";"199.30";"25";"93";"0.70";"26.79";"2";"0";"0";"2";"Y";"0.65";"None";"6.90";"0.09";"-0.03";"0";"MOL";"0";"14";"4";"0";"0";"199.1685";"NEUTRAL";"C10H21N3O";"CCN(CC)C(=O)N1CCN(C)CC1"
"CHEMBL7568";"QUINACRINE";"GNF-Pf-5448|MEPACRINE|QUINACRINE";"Small molecule";"2";"399.97";"204";"570";"5.97";"37.39";"4";"1";"1";"9";"N";"0.45";"None";"10.33";"5.15";"1.39";"3";"MOL";"0";"28";"4";"1";"1";"399.2077";"BASE";"C23H30ClN3O";"CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12"
"CHEMBL1454";"LEVAMISOLE";"LEVAMISOLE|Levamisole|TCMDC-125847";"Small molecule";"4";"204.30";"162";"967";"2.15";"15.60";"3";"0";"0";"1";"Y";"0.70";"None";"6.98";"2.36";"2.22";"1";"MOL";"0";"14";"2";"0";"0";"204.0721";"NEUTRAL";"C11H12N2S";"c1ccc([C@H]2CN3CCSC3=N2)cc1"
"CHEMBL1788401";"CYCLOBENDAZOLE";"CICLOBENDAZOLE|CYCLOBENDAZOLE|R 17,147";"Small molecule";"0";"259.26";"3";"24";"2.33";"84.08";"4";"2";"0";"3";"N";"0.83";"8.46";"3.92";"2.14";"2.11";"2";"MOL";"0";"19";"6";"2";"0";"259.0957";"NEUTRAL";"C13H13N3O3";"COC(=O)Nc1nc2ccc(C(=O)C3CC3)cc2[nH]1"
"CHEMBL1626223";"PYRANTEL";"PYRANTEL";"Small molecule";"4";"206.31";"5";"23";"2.50";"15.60";"3";"0";"0";"2";"Y";"0.73";"None";"10.71";"1.96";"-0.40";"1";"MOL";"0";"14";"2";"0";"0";"206.0878";"BASE";"C11H14N2S";"CN1CCCN=C1/C=C/c1cccs1"
"CHEMBL1697741";"DEHYDROEMETINE";"DEHYDROEMETINE|RO 1-9334/19";"Small molecule";"0";"478.63";"3";"22";"5.01";"52.19";"6";"1";"1";"7";"N";"0.57";"None";"9.00";"4.12";"2.12";"2";"MOL";"0";"35";"6";"1";"1";"478.2832";"BASE";"C29H38N2O4";"CCC1=C(C[C@H]2NCCc3cc(OC)c(OC)cc32)C[C@H]2c3cc(OC)c(OC)cc3CCN2C1"
"CHEMBL566534";"ARTEMETHER";"ARTEMETHER|Artemetheri|DIHYDROARTEMISININ IMPURITY G|NSC-665970|SM 224";"Small molecule";"4";"298.38";"151";"866";"2.84";"46.15";"5";"0";"0";"1";"N";"0.70";"None";"None";"3.48";"3.48";"0";"MOL";"0";"21";"5";"0";"0";"298.1780";"NEUTRAL";"C16H26O5";"CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@]42OO3"
"CHEMBL847";"OXAMNIQUINE";"OXAMNIQUINE|UK-4271|Vansil";"Small molecule";"4";"279.34";"26";"66";"1.81";"87.43";"5";"3";"0";"5";"N";"0.56";"None";"9.89";"1.57";"-0.85";"1";"MOL";"0";"20";"6";"3";"0";"279.1583";"BASE";"C14H21N3O3";"CC(C)NCC1CCc2cc(CO)c([N+](=O)[O-])cc2N1"
"CHEMBL177591";"DIMETHYLCARBATE";"DIMETHYLCARBATE|Dimethyl-Carbamic Acid";"Small molecule";"0";"89.09";"3";"6";"0.23";"40.54";"1";"1";"0";"0";"Y";"0.46";"4.34";"None";"-0.11";"-3.04";"0";"MOL";"0";"6";"3";"1";"0";"89.0477";"ACID";"C3H7NO2";"CN(C)C(=O)O"
"CHEMBL1086440";"TRICLABENDAZOLE";"EGA230B|EGATEN|EGATEN TM|NVP-EGA230|TRICLABENDAZOLE";"Small molecule";"4";"359.67";"46";"106";"6.04";"37.91";"3";"1";"1";"3";"N";"0.58";"10.31";"4.39";"5.88";"5.88";"3";"MOL";"0";"21";"3";"1";"1";"357.9501";"NEUTRAL";"C14H9Cl3N2OS";"CSc1nc2cc(Cl)c(Oc3cccc(Cl)c3Cl)cc2[nH]1"
"CHEMBL167150";"TRICHLORFON";"BAYER L 1359|BILARCIL|DETF|METRIFONATE|METRIPHONATE|TRICHLORFON";"Small molecule";"4";"257.44";"24";"103";"2.16";"55.76";"4";"1";"0";"3";"N";"0.62";"10.12";"None";"1.14";"1.14";"0";"MOL";"0";"12";"4";"1";"0";"255.9226";"NEUTRAL";"C4H8Cl3O4P";"COP(=O)(OC)C(O)C(Cl)(Cl)Cl"
