"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles"
"CHEMBL2104608";"CYFLUTHRIN";"BAY VL 1704|CYFLUTHRIN";"Small molecule";"0";"434.29";"5";"49";"6.32";"59.32";"4";"0";"1";"6";"N";"0.50";"10.49";"None";"5.59";"5.59";"2";"MOL";"0";"29";"4";"0";"1";"433.0648";"NEUTRAL";"C22H18Cl2FNO3";"CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1"
"CHEMBL2105606";"DESASPIDIN";"DESASPIDIN";"Small molecule";"0";"446.50";"1";"1";"4.23";"141.36";"8";"4";"0";"9";"N";"0.33";"3.20";"None";"5.00";"-0.24";"1";"MOL";"0";"32";"8";"4";"0";"446.1941";"ACID";"C24H30O8";"CCCC(=O)C1=C(O)C(C)(C)C(O)=C(Cc2c(OC)cc(O)c(C(=O)CCC)c2O)C1=O"
"CHEMBL1322884";"PHENOTHRIN";"FULL MARKS|PHENOTHRIN|S-2539F|Sumithrin";"Small molecule";"4";"350.46";"8";"14";"5.76";"35.53";"3";"0";"1";"6";"N";"0.49";"None";"None";"5.57";"5.57";"2";"MOL";"0";"26";"3";"0";"1";"350.1882";"NEUTRAL";"C23H26O3";"CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C"
"CHEMBL497";"CLIOQUINOL";"4-STEARYLAMINO-PHENYL-TRIMETHYLAM. METILSULF.|CLIOQUINOL|Clioquinol|Domeform-HC|IODOCHLORHYDROXYQUIN|NSC-3531|NSC-74938|ORALCER|Quin-O-Creme|Vioform";"Small molecule";"4";"305.50";"149";"448";"3.20";"33.12";"2";"1";"0";"0";"N";"0.76";"7.34";"3.28";"3.36";"3.03";"2";"MOL";"0";"13";"2";"1";"0";"304.9104";"NEUTRAL";"C9H5ClINO";"Oc1c(I)cc(Cl)c2cccnc12"
"CHEMBL1377";"CHLOROGUANIDE";"CHLORGUANIDE|CHLOROGUANIDE|PROGUANIL|Proguanil";"Small molecule";"4";"253.74";"39";"90";"2.21";"83.79";"2";"5";"0";"2";"N";"0.41";"None";"10.40";"2.38";"-0.78";"1";"MOL";"0";"17";"5";"5";"0";"253.1094";"BASE";"C11H16ClN5";"CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1"
"CHEMBL152632";"NIRIDAZOLE";"BA 32644|NIRIDAZOLE";"Small molecule";"0";"214.21";"24";"61";"0.58";"88.37";"5";"1";"0";"2";"N";"0.58";"None";"None";"0.24";"0.24";"1";"MOL";"0";"14";"7";"1";"0";"214.0161";"NEUTRAL";"C6H6N4O3S";"O=C1NCCN1c1ncc([N+](=O)[O-])s1"
"CHEMBL1450";"ATOVAQUONE";"566C|566C80|ATOVAQUONE|Mepron|WELLVONE";"Small molecule";"4";"366.84";"46";"437";"5.51";"54.37";"3";"1";"1";"2";"N";"0.76";"5.73";"None";"5.00";"3.33";"2";"MOL";"0";"26";"3";"1";"1";"366.1023";"ACID";"C22H19ClO3";"O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21"
"CHEMBL298470";"TAFENOQUINE";"SB-252263-AAB|TAFENOQUINE|WR 238605";"Small molecule";"4";"463.50";"17";"142";"5.91";"78.63";"6";"2";"1";"9";"N";"0.41";"None";"10.20";"4.97";"2.37";"3";"MOL";"0";"33";"6";"3";"1";"463.2083";"BASE";"C24H28F3N3O3";"COc1cc(C)c2c(Oc3cccc(C(F)(F)F)c3)c(OC)cc(NC(C)CCCN)c2n1"
"CHEMBL15891";"LINDANE";"BENZENE HEXACHLORIDE, GAMMA|ESODERM|GAMENE|Gamma Benzene Hydrochloride|Gammallin|Gammaxene|Gexane|HEXACHLORANE|HEXICIDE|Kwell|LINDANE|LOREXANE|LOREXANE NO 3|QUELLADA|Scabene|gamma-Hexachlorocyclohexane";"Small molecule";"4";"290.83";"34";"89";"3.64";"0.00";"0";"0";"0";"0";"N";"0.60";"None";"None";"4.35";"4.35";"0";"MOL";"0";"12";"0";"0";"0";"287.8601";"None";"C6H6Cl6";"Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl"
"CHEMBL2104415";"MOXIDECTIN";"CL 301,423|CL-301,423|CL-301423|MOXIDECTIN";"Small molecule";"4";"639.83";"1";"1";"5.73";"116.04";"9";"2";"2";"3";"N";"0.23";"12.55";"2.81";"5.67";"5.67";"0";"MOL";"0";"46";"9";"2";"2";"639.3771";"NEUTRAL";"C37H53NO8";"CO/N=C1\C[C@]2(C[C@@H]3C[C@@H](C/C=C(\C)C[C@@H](C)/C=C/C=C4\CO[C@@H]5[C@H](O)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)O[C@H](/C(C)=C/C(C)C)[C@H]1C"
